,Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",Vclay
19,Well_no_1,7325,7175,3062.3,0.06265,21.10379323599458,7768757.2420000015,Sandy shale,2.560526177647947,2853.4268821450646,23.79681555544441,1589.6178340956371,7.6488183505782095,0.6667
180,Well_no_10,3725,1575,3053.07,0.15539,186.52610012248786,7289440.001,Sandstone,1.5799935331560482,4329.017660614112,30.21056119143557,1682.7461338478836,4.473964278809629,0.0
181,Well_no_10,3725,1575,3053.57,0.04926,38.008347371080646,8077466.412,Shale,1.5763949579480807,5221.61118953115,37.78457801694627,1787.2602433374773,5.035477117454295,1.0
182,Well_no_10,3725,1575,3054.07,0.12083,65.5479924314493,7388753.32,Shaly sandstone,1.6318426343324992,4132.474213052629,33.96500694776898,1560.599407419018,5.315676752665492,0.3333
183,Well_no_10,3725,1575,3054.57,0.1253,44.918882834733886,7154431.124,Shaly sandstone,2.2041931674915314,3216.297111426259,26.582614770328032,1718.5048538640658,6.054202414424124,0.3333
184,Well_no_10,3725,1575,3055.07,0.12506,72.98183410286299,7257802.822000002,Shaly sandstone,1.6191051427008163,4067.024201959331,26.78110953862843,1599.7652679652772,3.1742028151343264,0.3333
185,Well_no_10,3725,1575,3055.57,0.1364,81.37755295939975,7403188.322000002,Shaly sandstone,1.7436255396638696,4139.598077833711,29.87924194276668,1725.947235945528,5.194075416454819,0.3333
186,Well_no_10,3725,1575,3056.07,0.13752,88.35941216393985,7135962.347,Sandstone,1.905530099041985,3727.6313500197184,26.477789443559903,1607.3496475158342,6.25929049505184,0.0
187,Well_no_10,3725,1575,3056.57,0.1452,125.88182433318657,7102947.459,Sandstone,1.9358053421789148,3589.546976726058,27.612827863764,1785.4253711264837,5.230998201693968,0.0
188,Well_no_10,3725,1575,3057.07,0.14702,124.54391814691252,7364394.615,Sandstone,2.2057434425794105,2857.812763701249,18.014513577459454,1897.8537919188811,7.944754847102161,0.0
189,Well_no_10,3725,1575,3057.57,0.0565,,7868644.403,Shale,,5134.058353049427,,1586.9637687582904,4.864390529922888,1.0
190,Well_no_10,3725,1575,3058.07,0.06131,56.26509069202037,7799643.587999999,Shale,1.929682873265376,3780.005104936127,32.13636519569776,1611.4065329596554,4.799019508538458,1.0
191,Well_no_10,3725,1575,3058.57,0.09764,39.78920365118259,7697342.976,Shaly sandstone,2.036602558948496,3668.516630516989,27.40862629734752,1677.9648943924087,4.413492144931865,0.3333
192,Well_no_10,3725,1575,3059.07,0.10761,46.752615959016104,7713644.96,Shaly sandstone,2.178200471181591,4343.815633228509,25.550268253027447,1647.8250084316498,8.184053138721893,0.3333
193,Well_no_10,3725,1575,3059.57,0.05572,46.638057401417115,7440355.819006704,Shale,1.9721905802844184,4109.102350968669,32.85840889446854,1624.890465345049,6.42902000109788,1.0
194,Well_no_10,3725,1575,3060.07,0.11676,55.08051067059581,7589537.998,Shaly sandstone,1.6031800509902956,4305.603827340568,29.72011140741641,1743.891956306396,5.697939368483371,0.3333
195,Well_no_10,3725,1575,3060.57,0.11779,46.8455018553563,7635445.6170000015,Shaly sandstone,1.7942916571029202,4328.174587180702,33.612636531559026,1828.371721967649,5.998215010836987,0.3333
196,Well_no_10,3725,1575,3061.07,0.12124,60.151918640105286,7537669.263999999,Shaly sandstone,1.5987503259408171,4166.648238511415,35.77036171659872,1645.2282664748236,5.786099879743558,0.3333
197,Well_no_10,3725,1575,3061.57,,,7575811.992742831,Shaly sandstone,1.5155351901308385,4287.735988880328,37.60047109647462,1602.732453503269,5.486771994349653,0.3333
198,Well_no_10,3725,1575,3062.07,0.13252,70.40622248641965,7202105.725,Shaly sandstone,1.790344068857336,3609.395784131653,33.038656395226866,1759.0456915504103,5.8109091104622985,0.3333
199,Well_no_10,3725,1575,3062.57,0.13135,93.64753124062284,7255187.908540953,Shaly sandstone,1.8935915869320528,3759.514933061455,29.1532928879285,1559.4238461407035,5.689461095269848,0.3333
200,Well_no_11,4275,5675,3045.72,0.07135,39.317540147086625,7923543.039,Sandy shale,2.640465275988897,2667.491989157421,18.788266349844104,1642.5806293757416,7.124163115071409,0.6667
201,Well_no_11,4275,5675,3046.22,0.13012,66.51323797028547,7441768.459,Shaly sandstone,2.0542407006291903,3075.411216082322,26.65520569858104,1709.6692551251526,6.01340495414917,0.3333
202,Well_no_11,4275,5675,3046.72,0.13078,67.36812488752875,7343890.986,Shaly sandstone,2.2870468040780585,3244.9741460971413,24.08227627687324,1646.8276349788289,7.150602617756274,0.3333
203,Well_no_11,4275,5675,3047.22,0.13817,89.18430512899515,7040999.9470000025,Shaly sandstone,1.8781607803627425,3620.922010164202,29.13003974951756,1673.1546049820306,5.4979929206736085,0.3333
204,Well_no_11,4275,5675,3047.72,,,7326775.779665318,Sandstone,2.1506865792064023,3722.496734932233,29.802025090064017,1728.411497150612,7.1098148242823385,0.0
205,Well_no_11,4275,5675,3048.22,0.14053,95.47233735765262,7246131.437000001,Sandstone,2.3879184494932613,2902.7348395745507,24.64527900734595,1552.0691610168285,5.316166528205058,0.0
206,Well_no_11,4275,5675,3048.72,0.14362,123.23848266431256,7135484.266,Sandstone,1.637274721290184,4962.488995934877,40.32001361402009,1806.765510557816,5.231902908630711,0.0
207,Well_no_11,4275,5675,3049.22,0.14668,138.04544513147528,7258341.736,Sandstone,2.01844772329232,3381.5183635935955,30.36739035406477,1555.4153094057958,4.867160820527053,0.0
208,Well_no_11,4275,5675,3049.72,0.15263,138.38572036410812,6904637.2760000015,Sandstone,1.7969493561133938,3647.9040148943673,23.91237112376743,1623.071154101533,4.6622313567011,0.0
209,Well_no_11,4275,5675,3050.22,0.0700799999999999,12.627104728259583,7722123.988,Sandy shale,2.4247812103499657,2767.669334299664,18.5738084169484,1753.8103207109198,9.478483137224826,0.6667
210,Well_no_11,4275,5675,3050.72,0.12116,89.10073536373275,7177936.78,Shaly sandstone,1.637196277408556,4689.946975188702,30.734412614428173,1601.6846273664976,4.945779006884089,0.3333
211,Well_no_11,4275,5675,3051.22,0.12924,59.82044390025908,7338299.021000002,Shaly sandstone,1.6856190506547697,4243.08999744871,32.78154250380335,1802.6750530627808,3.818947930865103,0.3333
212,Well_no_11,4275,5675,3051.72,0.13414,74.40882630437976,7323936.57,Shaly sandstone,2.0873533591429294,3460.970611573477,25.00298142533557,1690.7379836101604,6.337933018354005,0.3333
213,Well_no_11,4275,5675,3052.22,0.14255,94.71198433981048,7388885.829,Shaly sandstone,2.005677617904055,3873.309655909417,23.824978718951,1773.2621557033622,6.006759746376977,0.3333
214,Well_no_11,4275,5675,3052.72,0.0737,48.98380791333249,7849468.335,Sandy shale,3.0508234376728414,2532.6261739822103,24.12173635169401,1558.5850890882857,10.08192117326974,0.6667
215,Well_no_11,4275,5675,3053.22,,,7094202.4070000015,Shaly sandstone,1.880299532736819,3648.431235455479,26.275987292905523,1725.0026798243073,4.626355564891336,0.3333
216,Well_no_11,4275,5675,3053.72,0.14177,112.6592990194223,7168734.92513924,Sandstone,2.301265727129743,3532.371674164547,21.93656912944209,1987.337909915501,6.9563395459328525,0.0
217,Well_no_11,4275,5675,3054.22,0.14581,121.64236355273184,7176041.378,Sandstone,1.8379539337098187,3768.805382259552,26.10610286847953,1677.3116176315075,5.915055678554058,0.0
218,Well_no_11,4275,5675,3054.72,0.14928,137.973063853204,6890319.241,Sandstone,2.1990255368662464,2793.1578098282844,23.07888079333621,1640.238034232338,6.557224304817195,0.0
219,Well_no_11,4275,5675,3055.22,0.1524,162.64434824644582,6981750.266,Sandstone,1.7780910236179075,4023.438704394869,28.78384241196211,1490.591793322799,6.043875180748159,0.0
220,Well_no_12,1625,3775,3052.85,0.05501,46.30653863617427,7708554.031,Shale,1.8947846425052253,4276.108600372911,32.01445560850698,1799.9314787000003,6.0631663364627775,1.0
221,Well_no_12,1625,3775,3053.35,0.05227,56.649317734140425,7894990.054,Shale,1.5365317198670074,5218.571948773025,40.58803464451054,1714.4591014200355,3.816603215999522,1.0
223,Well_no_12,1625,3775,3054.35,0.14278,123.80473487011196,7362836.748,Sandstone,1.7401743947892163,4036.814097706515,30.1697002361808,1620.0018678962704,4.05362147355957,0.0
224,Well_no_12,1625,3775,3054.85,0.1394099999999999,,7308319.147000001,Shaly sandstone,1.8192745315306176,,,1844.097106553132,6.186796235512272,0.3333
225,Well_no_12,1625,3775,3055.35,0.13901,73.02284680678031,7046444.703,Shaly sandstone,2.100040608037029,3133.047656876452,22.48673311615949,1641.6510930438324,6.968805395724094,0.3333
226,Well_no_12,1625,3775,3055.85,0.13967,95.8324287851894,7129186.264,Sandstone,1.6104869118273115,4392.3901287114,36.43340652449528,1535.8734922877725,3.7989894686476573,0.0
227,Well_no_12,1625,3775,3056.35,0.14488,131.8437136602741,6971829.172,Sandstone,2.1375546050786687,3170.210672570894,19.53820742609229,1444.6142382258631,6.090946898535018,0.0
228,Well_no_12,1625,3775,3056.85,0.14568,146.15938065816897,6985688.352000001,Sandstone,1.503925598936262,4809.842371329251,34.73352368608211,1721.6608060355084,4.457809826904098,0.0
229,Well_no_12,1625,3775,3057.35,0.1436599999999999,118.05458421129543,7104511.006,Sandstone,2.299271291160663,2539.248287615664,14.825199736525903,1696.4951104177758,6.6175227234966085,0.0
230,Well_no_12,1625,3775,3057.85,0.15288,125.57910453012764,7082842.057,Shaly sandstone,1.76875454613438,3712.166961586575,29.876116156282464,1618.0215083413996,4.630588084324919,0.3333
231,Well_no_12,1625,3775,3058.35,0.15614,149.98209843312233,7054582.469,Sandstone,1.9609350391894624,3697.7364460957774,25.54048799841517,1691.324771700889,5.6094105413248885,0.0
232,Well_no_12,1625,3775,3058.85,0.15407,144.8928298707756,7224852.752,Sandstone,2.386047440872174,3023.024742552569,24.26568020722418,1618.8169420062454,8.589646332837559,0.0
233,Well_no_12,1625,3775,3059.35,0.1651099999999999,213.24362999309724,7323316.055,Sandstone,1.866931329558846,3605.87012921359,28.52767160372057,1558.5880437383332,4.535143406378627,0.0
234,Well_no_12,1625,3775,3059.85,0.1630599999999999,217.05002003326268,7227725.335,Sandstone,1.754614260570582,3806.293286378913,31.000370302922807,1659.7878641746745,4.327865394929991,0.0
235,Well_no_12,1625,3775,3060.35,0.05424,70.70514303042944,7881961.665,Shale,1.3568680067710166,5367.344406628611,39.0891772621144,1578.6538679555135,4.504606794467397,1.0
236,Well_no_12,1625,3775,3060.85,0.10324,47.085149128419445,7599761.685,Shaly sandstone,2.5153862194682226,3204.00654348028,25.82209449256803,1586.5369113465624,5.637173531908561,0.3333
237,Well_no_12,1625,3775,3061.35,0.10993,43.79127527642622,7374660.1329999985,Shaly sandstone,2.156265587118087,3843.569181221693,31.85456337848808,1701.3836135185236,5.078425085815122,0.3333
238,Well_no_12,1625,3775,3061.85,0.11271,46.87874049307281,7213096.069,Shaly sandstone,2.2135780838582697,3033.912775477307,23.25877406234649,1209.1316178371387,3.2362495410362566,0.3333
239,Well_no_12,1625,3775,3062.35,,,7661076.155,Shaly sandstone,1.8228882204619024,4281.145696353107,32.55744384757206,1681.6037486660666,4.901124189786575,0.3333
240,Well_no_13,5175,8875,3054.04,0.07357,32.08235111607894,7991713.781,Sandy shale,2.944848417834848,2720.42530009058,20.785547867858245,1779.3517176282776,7.970578507233378,0.6667
241,Well_no_13,5175,8875,3054.54,,,7112147.476,Shaly sandstone,1.6819876146376782,4879.796104802654,40.0521787357942,1829.1944564933196,4.698605585443678,0.3333
242,Well_no_13,5175,8875,3055.04,0.1323599999999999,104.98802887341341,7243189.887999997,Sandstone,2.4420736423074083,3134.756188308463,19.867775114353982,1663.1524964977243,7.39225158940261,0.0
243,Well_no_13,5175,8875,3055.54,0.14059,51.642170400373786,7628953.825,Sandstone,2.0622372374693207,3509.994608859624,25.702160639782605,1729.9408808726366,6.1716480001055976,0.0
244,Well_no_13,5175,8875,3056.04,0.14068,92.11685500807633,7130751.2289999975,Sandstone,2.02683283633438,3474.824254153469,26.23196507702125,1515.9686813232931,5.3041254923046885,0.0
245,Well_no_13,5175,8875,3056.54,0.14578,124.45827336056772,7110108.084,Sandstone,1.7919914896062397,4167.751215118251,29.147914576690148,1794.0511191605206,5.532251366694632,0.0
246,Well_no_13,5175,8875,3057.04,,,7238826.377,Sandstone,1.354641417488647,4999.056669211826,33.853257893114446,1563.7053726456777,4.551213146126038,0.0
247,Well_no_13,5175,8875,3057.54,0.15745,,,Sandstone,1.5064265077290058,4672.944407516867,32.89494600762728,1710.6907740530842,,0.0
248,Well_no_13,5175,8875,3058.04,,,7642236.796,Sandy shale,3.4971189410835426,2285.663367655556,17.91314661397126,1728.766437793082,9.069373240927154,0.6667
249,Well_no_13,5175,8875,3058.54,0.0790299999999999,38.53788986591057,7624576.352000001,Sandy shale,2.9887548426928388,2447.090928341069,17.013353156298894,1743.936430743115,8.005053303139906,0.6667
250,Well_no_13,5175,8875,3059.04,0.14234,70.04069752364445,7229325.619331844,Shaly sandstone,1.60406112958407,4519.280375145947,32.76117625933669,1879.5532620630288,4.849071054809271,0.3333
251,Well_no_13,5175,8875,3059.54,0.14419,132.94763391303945,7170647.7,Sandstone,1.829894125916785,4181.048920485056,30.44915541902497,1709.885310216331,4.7412888822572485,0.0
252,Well_no_13,5175,8875,3060.04,0.14494,108.43405855028423,7104648.305,Sandstone,2.090939775768584,4077.348078769058,21.783872710676345,1576.4470248705084,6.278569765850829,0.0
253,Well_no_13,5175,8875,3060.54,0.1491,153.26584434171258,7177602.223999999,Shaly sandstone,1.8340192800451847,3680.260821219016,24.840543487270235,1529.393244302972,7.344079678969704,0.3333
254,Well_no_13,5175,8875,3061.04,0.1503,127.43495481092293,7081596.55,Sandstone,1.5777735590762048,4297.297202930731,30.975919869903397,1581.802415520837,5.217398605140967,0.0
255,Well_no_13,5175,8875,3061.54,0.15265,131.68078334579175,7235118.623,Sandstone,2.2857290218607287,3040.9477393190955,26.03759561610884,1584.9155824267816,5.74165393867324,0.0
256,Well_no_13,5175,8875,3062.04,0.15975,193.1744816799661,7288627.427999997,Sandstone,1.5081247393394122,4651.03289266245,32.00318703221568,1625.1731293117211,1.8282033076826665,0.0
257,Well_no_13,5175,8875,3062.54,0.158,158.89241550279775,7012376.4070000015,Sandstone,2.375492007240476,2852.407265314375,22.14932028212413,1609.0334603927026,6.150121908249802,0.0
259,Well_no_13,5175,8875,3063.54,0.12749,67.55612197919983,7364407.913,Shaly sandstone,2.0745244364817417,3522.395225709597,25.73918091757914,1521.064132469331,4.7996946163793615,0.3333
260,Well_no_14,3075,8225,3052.8,0.15971,112.771629247867,7298013.315,Shaly sandstone,1.7128688128467489,4281.934335597985,31.405384002516477,1894.9445320132183,3.2926787720881463,0.3333
261,Well_no_14,3075,8225,3053.3,0.16659,198.91717192860924,6632230.13,Sandstone,2.2959747147174374,2495.4676248669894,20.39147769741629,1565.3840402375333,5.626118876372175,0.0
262,Well_no_14,3075,8225,3053.8,0.06666,44.8540561594527,8060147.4739999985,Shale,1.6755362084947591,4502.323247805583,39.13708557469685,1741.9696199535128,5.850187821906736,1.0
263,Well_no_14,3075,8225,3054.3,0.08904,81.03736981021844,,Sandy shale,3.0307476276326684,,,1756.8276634545405,10.758314282366692,0.6667
264,Well_no_14,3075,8225,3054.8,0.06405,47.06844018796981,7291036.297295535,Shale,1.98083658879517,4052.4826946799153,29.49873294168981,1722.00818015813,5.873798848550122,1.0
265,Well_no_14,3075,8225,3055.3,0.13544,62.50221824935586,7340544.841,Shaly sandstone,1.5344804657566202,4801.988088089681,34.04260079117396,1635.0653837015686,4.102339628774162,0.3333
266,Well_no_14,3075,8225,3055.8,0.13345,74.49284547284141,7332494.888999999,Shaly sandstone,1.6526731903287468,4360.245816199065,31.131595453847385,1654.7977212569378,3.80378641323264,0.3333
267,Well_no_14,3075,8225,3056.3,0.13495,100.16021918250819,7215339.465,Sandstone,1.7939213813737531,4007.516644940007,28.15807642762692,1573.9467277545193,4.4440963308701535,0.0
268,Well_no_14,3075,8225,3056.8,,,7178614.546824597,Sandstone,2.068658518686254,3596.2240627776555,23.664649489814398,1735.743770361525,3.7883407810493535,0.0
269,Well_no_14,3075,8225,3057.3,0.1521,218.9651504239273,7136969.092999999,Sandstone,2.2934116203389427,3765.192319861697,32.51294706734579,1709.7901257620265,4.559949977434188,0.0
270,Well_no_14,3075,8225,3057.8,,,7144865.623,Sandstone,1.6798201104426569,4334.432880307463,31.559298461145314,1690.063009406693,2.9804430729351283,0.0
271,Well_no_14,3075,8225,3058.3,0.1572599999999999,184.4467204674193,7113094.91,Sandstone,1.5944329352161088,4535.935922734808,29.90967017601481,1824.0063539264936,4.6251796214559,0.0
272,Well_no_14,3075,8225,3058.8,,,7178130.9810000025,Sandstone,1.5715105763084511,4375.072194088794,34.441723768204945,1714.6397402793923,4.169595420981193,0.0
273,Well_no_14,3075,8225,3059.3,0.16078,148.20193471077562,7064304.91,Sandstone,2.207699351857992,2983.68489383582,23.523234602241587,1680.6190265188231,7.27654458701884,0.0
274,Well_no_14,3075,8225,3059.8,0.16582,205.4446753067911,6879290.116,Sandstone,1.5737854404012106,4672.658028319468,29.563368729824525,1933.294499276501,5.882223931465419,0.0
275,Well_no_14,3075,8225,3060.3,0.06002,50.169438649824905,8005485.114,Shale,1.423453293942707,5169.234186315442,46.04581115760325,1587.319196090505,2.437909228073704,1.0
276,Well_no_14,3075,8225,3060.8,0.12241,93.2328662164988,7417773.337999999,Sandstone,1.99713603762904,4225.959703059586,24.44732977815167,1642.1997988718024,6.851865071584228,0.0
277,Well_no_14,3075,8225,3061.3,0.1183099999999999,44.69849941095313,7460607.72,Shaly sandstone,2.288480038494281,2553.731815175224,25.65735187941641,1663.5164791130985,6.307210764923908,0.3333
278,Well_no_14,3075,8225,3061.8,,24.826089623681423,7188090.759,Shaly sandstone,2.177858257895482,2509.185831543212,13.711825073850221,1707.3900362945346,5.856979164399394,0.3333
279,Well_no_14,3075,8225,3062.3,0.13518,99.97291616108252,7422993.541,Shaly sandstone,2.1796053491085843,3376.3785772001534,24.38231157037323,1546.6991333809106,6.322267280357339,0.3333
280,Well_no_15,1925,5875,3051.06,,,7335140.373,Shaly sandstone,1.5963576166247493,5283.990125240351,36.64931124730349,1787.11877164161,3.4262713832915623,0.3333
281,Well_no_15,1925,5875,3051.56,0.1171,57.957502736291715,7306053.8489999985,Shaly sandstone,1.5983205674827463,4762.59492883731,36.25360332015242,1596.1179181393622,4.07186934423713,0.3333
282,Well_no_15,1925,5875,3052.06,0.12732,,7516738.956,Shaly sandstone,1.6819845947897811,4652.584625873566,36.409153035382936,,5.821523897100392,0.3333
283,Well_no_15,1925,5875,3052.56,0.1298,93.1305944243331,7171608.371,Sandstone,1.8121404078401373,4019.567755104865,27.117253576325396,1550.1625276451182,5.052476467694425,0.0
284,Well_no_15,1925,5875,3053.06,0.13675,73.97600861431367,7311522.207,Shaly sandstone,1.7794401768677548,4585.999290797231,37.42409944310035,1747.025401213116,6.6657194712472485,0.3333
285,Well_no_15,1925,5875,3053.56,0.1362,86.857550611275,7048927.635,Shaly sandstone,1.8292228459876607,4072.037994095052,24.80260673399092,1580.4452401693563,4.852670349711707,0.3333
287,Well_no_15,1925,5875,3054.56,,,7123985.251,Sandstone,1.7277615354371287,4049.171409272425,28.328013753003383,1671.2702856736469,3.8743881612723183,0.0
288,Well_no_15,1925,5875,3055.06,0.04027,51.53494248585772,8148040.297,Shale,1.640875396471401,4994.8071034526,40.93672019810689,1613.507537924621,4.924883615386718,1.0
289,Well_no_15,1925,5875,3055.56,0.04516,47.70993808606898,8067824.68,Shale,1.751656148150451,4295.540815755029,35.07364856877279,1485.91449487816,6.997695494122915,1.0
290,Well_no_15,1925,5875,3056.06,0.10539,34.818948698666574,7687054.9679999985,Shaly sandstone,1.8630165030464632,4216.54868444224,33.12309728414024,1527.1836135250894,5.981375311763082,0.3333
291,Well_no_15,1925,5875,3056.56,0.1125,49.136613908505524,7541540.021000002,Shaly sandstone,1.8508313933486704,3869.0184928609065,30.745770328126465,1622.4702054985437,4.195299929291795,0.3333
292,Well_no_15,1925,5875,3057.06,0.11633,46.20222663420939,7425343.219,Shaly sandstone,1.4775627073521163,4734.683849834619,33.12286476098243,1730.32120075768,4.343356479381621,0.3333
293,Well_no_15,1925,5875,3057.56,0.1154,55.55142873289074,7172950.654104602,Shaly sandstone,1.5294186524357867,4258.761615570696,27.73914333220607,1625.6359944787812,4.549323248288669,0.3333
294,Well_no_15,1925,5875,3058.06,,,7351991.361,Shaly sandstone,1.7602521088537622,3526.656376669589,21.892792705181154,1907.5303913174,6.404980402563138,0.3333
295,Well_no_15,1925,5875,3058.56,0.12536,76.39227720748849,7141262.717,Shaly sandstone,1.777625818115682,4364.793320932268,27.25915809773393,1593.948614981797,4.807152762287932,0.3333
296,Well_no_15,1925,5875,3059.06,0.126,74.92610287861743,7223753.3160000015,Shaly sandstone,1.6762778362937212,4290.447252832792,30.85681785994059,1689.4460123026026,3.3113043818746286,0.3333
297,Well_no_15,1925,5875,3059.56,0.13199,64.72693890058736,7340387.735,Shaly sandstone,1.6885184154528168,4997.071517065164,31.95742511604845,1624.735204348716,6.003313727308662,0.3333
298,Well_no_15,1925,5875,3060.06,0.05239,57.3304648616727,7980422.517999997,Shale,1.5476546510585416,5419.188932773588,39.31189067512884,1565.9031460891742,4.851400240772116,1.0
299,Well_no_15,1925,5875,3060.56,0.09824,52.43703860546518,7604741.037,Sandy shale,2.8537884962574425,2800.162286597033,21.701117175007443,1692.6932944033408,8.1767050180093,0.6667
300,Well_no_16,4775,9475,3054.99,0.07463,27.61482002178697,7834586.845,Sandy shale,3.1277611890150325,3080.387451497201,29.67865924446184,1743.0857756181076,5.3759206105531465,0.6667
301,Well_no_16,4775,9475,3055.49,,,7727530.632,Sandy shale,3.3247509107610544,1990.0456159071464,17.944949794381827,1662.148999471682,9.185419992049916,0.6667
302,Well_no_16,4775,9475,3055.99,0.12137,52.164925549761236,7280160.41,Shaly sandstone,2.1642227863930232,3261.3089961475016,23.01896868757229,1675.6643737556085,7.602664209371128,0.3333
303,Well_no_16,4775,9475,3056.49,0.12281,53.86773406603113,7190899.084,Shaly sandstone,2.246575236204204,3403.0569537338324,22.0324720760816,1667.5427735927783,6.2470492920376035,0.3333
304,Well_no_16,4775,9475,3056.99,0.13248,68.39007679727088,7349446.275,Shaly sandstone,2.299317025423216,2755.0866213890886,23.874871529274373,1657.357109358338,6.315838935439194,0.3333
305,Well_no_16,4775,9475,3057.49,,,7282445.353999997,Sandstone,1.7294124252335712,4178.797281318897,31.64992112963416,1563.9700012448343,5.421429952284042,0.0
306,Well_no_16,4775,9475,3057.99,0.06999,21.752603761185416,7503378.1570000015,Sandy shale,3.04130380928328,2464.193390186895,13.569739013178769,1961.294494737288,9.3398994060318,0.6667
307,Well_no_16,4775,9475,3058.49,0.13278,83.29848280784442,7341685.956,Shaly sandstone,1.7453890811251536,4070.6732709095522,28.92176185541452,1643.2297895667093,4.7129068250678925,0.3333
308,Well_no_16,4775,9475,3058.99,0.13171,86.68399171574987,7551816.413,Shaly sandstone,1.8392213049874504,4051.9898065697216,30.197478263691355,1605.7895236945508,4.742542477901992,0.3333
309,Well_no_16,4775,9475,3059.49,0.13706,73.22928583882958,7223995.972999997,Shaly sandstone,1.6932620614334846,4516.615510395164,34.77738104994624,1703.994208782001,4.9024930102728925,0.3333
310,Well_no_16,4775,9475,3059.99,0.14232,113.77698318044061,7382717.361,Sandstone,2.365065853509792,3039.1386338363704,24.09978270146365,1804.0422682926876,5.4145857528377865,0.0
311,Well_no_16,4775,9475,3060.49,0.1502099999999999,145.8671721340428,7082526.975,Sandstone,1.8266019630166888,3604.197631133833,23.72799891475594,1688.122173786366,4.228804107849935,0.0
312,Well_no_16,4775,9475,3060.99,0.15288,145.31647710253665,7249358.544,Sandstone,2.4622274892934337,3379.617839010035,22.21434371464843,1484.8020254795658,8.060904547132473,0.0
