Well_ID,ln_permeability,"Porosity, fraction","Acoustic Impedance, kg*s/m^2","Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",varAcousticImpedance,varPorosity,percentile 84,percentile 50,dykstra_parsons,percentile 16,region,prod_cum_3yr
Well_no_50,4.272961385,0.117479474,7350609.457,2.280698531,3275.574208,23.94819523,1658.070272,6.638351916,1.14E+11,0.001842702,25.48051863,84.99732284,0.700219751,25.48051863,0,1095.3
Well_no_51,4.289184042,0.124148235,7346226.596,1.805380647,4195.544395,30.82163597,1641.2479,5.382008589,68512477228,0.000646922,46.1514997,68.28659176,0.324149902,46.1514997,0,365.32
Well_no_52,4.653092011,0.138791111,7205214.591,2.181048593,3438.364737,26.28341114,1716.808184,5.562844988,49080253627,0.000905334,50.89158718,131.8285378,0.613956219,50.89158718,1,805.49
Well_no_53,4.207960966,0.116945333,7338308.017,2.103633972,3519.947301,26.95246125,1681.656656,6.384277424,73884592320,0.001137889,51.69103298,86.69679798,0.403772294,51.69103298,1,679.5
Well_no_54,5.024185536,0.151721,7071021.379,2.024538609,3554.860484,26.05348592,1673.777912,5.560184852,75438421504,0.001052427,57.45036377,169.2863675,0.660632072,57.45036377,1,2124.8
Well_no_55,4.307647843,0.133725,7282169.69,2.192472814,3683.53401,26.49355024,1690.990515,5.952410144,57819961209,0.001056456,33.96900947,131.9165987,0.742496321,33.96900947,1,835.5
Well_no_56,4.119004511,0.105804667,7426495.088,2.291052583,3370.757788,25.51830821,1674.45501,6.333652372,1.03E+11,0.001345522,34.73402999,53.63690405,0.352422915,34.73402999,1,509.18
Well_no_57,4.664516129,0.13797125,7302432.559,2.150623177,3498.916942,25.5612373,1683.781426,6.071711739,1.24E+11,0.000773283,66.20599092,132.4262343,0.500053813,66.20599092,1,1345.3
Well_no_58,5.016405883,0.151860625,7080762.335,1.935718003,3697.795616,26.38191538,1638.166954,5.209562283,95729133094,0.001416396,47.48113429,233.3061792,0.79648574,47.48113429,1,1372.2
Well_no_59,4.511218957,0.130717778,7285652.941,1.923470257,3870.875213,28.02924043,1697.13539,5.286085809,79497909894,0.001153257,45.0739156,82.71762227,0.455086905,45.0739156,0,942.01
Well_no_60,4.41016172,0.110796429,7423374.522,2.000966624,3825.596097,28.77980458,1664.285297,5.608400191,1.14E+11,0.001756735,48.39632406,85.10981424,0.431366118,48.39632406,0,812.2
Well_no_61,5.081658557,0.162497857,7090073.248,2.120263963,3587.100252,25.67607546,1655.950894,5.838911754,86028214330,0.001011959,126.3368065,222.769256,0.432880422,126.3368065,1,2514.5
Well_no_62,4.727787562,0.145567143,7171547.44,1.845123715,3888.577243,28.35636759,1653.217144,5.032611906,44587983867,0.000981954,55.64578304,128.3135763,0.566329732,55.64578304,0,1146
Well_no_63,4.566729236,0.132104118,7294132.577,2.233598898,3396.900154,24.7843891,1653.570492,6.198341293,84723489792,0.00160268,38.62947309,108.7989164,0.64494616,38.62947309,1,1287
Well_no_64,4.607429611,0.135562353,7363314.192,2.013698101,3715.88497,28.51023997,1676.677473,5.211922622,87415085101,0.000966407,59.13800154,101.7277098,0.418663788,59.13800154,0,723.75
Well_no_65,4.200962241,0.115158889,7411305.795,1.864263508,4147.975026,29.82642537,1682.147332,5.433578322,1.16E+11,0.001568815,43.44019805,58.74278458,0.260501552,43.44019805,0,597.24
Well_no_66,4.552883121,0.120461176,7356968.553,1.920388875,4029.341263,27.99459326,1650.681768,5.660732968,1.05E+11,0.00165448,50.40655356,104.5100827,0.517687172,50.40655356,0,702.16
Well_no_67,4.068644166,0.119791875,7342848.564,2.225636302,3641.69123,26.09229989,1649.784594,6.317335413,1.18E+11,0.001300634,20.38979466,85.18444389,0.760639458,20.38979466,1,704.82
Well_no_68,4.171567259,0.117448889,7357626.01,2.281484335,3439.300908,25.19134879,1716.83178,6.397120937,70287311406,0.001224616,29.08315633,75.01753694,0.612315233,29.08315633,1,636.83
Well_no_69,4.515017042,0.124074444,7404041.09,1.888505262,4004.912137,29.62450357,1646.634139,5.274235864,1.13E+11,0.001780118,49.76361708,69.42744853,0.28322849,49.76361708,0,1320.1
Well_no_70,4.749403482,0.139167647,7294601.453,2.333701749,3276.727509,25.1565559,1664.928349,6.725021453,1.66E+11,0.001935353,32.25326141,138.8105924,0.767645532,32.25326141,1,1022.1
Well_no_71,4.63690002,0.133674545,7222840.185,2.081987833,3631.17681,26.63525449,1655.00802,5.456495714,46754431371,0.001213885,52.06934409,130.5401464,0.601123903,52.06934409,1,998.59
Well_no_72,3.985480723,0.109639444,7451667.627,1.963756105,3925.09898,29.0140725,1713.176345,5.730757808,93822034553,0.000976967,41.17733721,54.22552321,0.240628126,41.17733721,0,647.54
Well_no_73,4.52877795,0.1297525,7330229.46,1.987318616,3732.764116,27.89128378,1633.264842,5.141354835,99147544654,0.001275977,47.98422863,105.9143112,0.546952361,47.98422863,0,749.4
